日付,時間,役,順位,名前,得票数
04/21,9,四天王,6,風花,159
04/21,9,四天王,7,志保,125
04/21,9,四天王,8,恵美,89
04/21,9,四天王,9,瑞希,78
04/21,9,四天王,10,のり子,73
04/21,10,四天王,1,奈緒,2119
04/21,10,四天王,2,亜利沙,2104
04/21,10,四天王,3,茜,897
04/21,10,四天王,4,莉緒,805
04/21,10,四天王,5,歩,483
04/21,10,四天王,6,風花,165
04/21,10,四天王,7,志保,125
04/21,10,四天王,8,恵美,93
04/21,10,四天王,9,瑞希,78
04/21,10,四天王,10,のり子,73
04/21,11,四天王,1,奈緒,2152
04/21,11,四天王,2,亜利沙,2125
04/21,11,四天王,3,茜,901
04/21,11,四天王,4,莉緒,813
04/21,11,四天王,5,歩,483
04/21,11,四天王,6,風花,166
04/21,11,四天王,7,志保,126
04/21,11,四天王,8,恵美,94
04/21,11,四天王,9,瑞希,79
04/21,11,四天王,10,のり子,75
04/21,12,四天王,1,奈緒,2162
04/21,12,四天王,2,亜利沙,2139
04/21,12,四天王,3,茜,907
04/21,12,四天王,4,莉緒,820
04/21,12,四天王,5,歩,488
04/21,12,四天王,6,風花,167
04/21,12,四天王,7,志保,126
04/21,12,四天王,8,恵美,94
04/21,12,四天王,9,瑞希,79
04/21,12,四天王,10,のり子,75
04/21,13,四天王,1,奈緒,2189
04/21,13,四天王,2,亜利沙,2160
04/21,13,四天王,3,茜,914
04/21,13,四天王,4,莉緒,844
04/21,13,四天王,5,歩,492
04/21,13,四天王,6,風花,167
04/21,13,四天王,7,志保,127
04/21,13,四天王,8,恵美,95
04/21,13,四天王,9,瑞希,80
04/21,13,四天王,10,のり子,76
04/21,14,四天王,1,奈緒,2214
04/21,14,四天王,2,亜利沙,2176
04/21,14,四天王,3,茜,919
04/21,14,四天王,4,莉緒,848
04/21,14,四天王,5,歩,500
04/21,14,四天王,6,風花,173
04/21,14,四天王,7,志保,127
04/21,14,四天王,8,恵美,96
04/21,14,四天王,9,瑞希,81
04/21,14,四天王,10,のり子,76
04/21,15,四天王,1,奈緒,2224
04/21,15,四天王,2,亜利沙,2200
04/21,15,四天王,3,茜,921
04/21,15,四天王,4,莉緒,856
04/21,15,四天王,5,歩,500
04/21,15,四天王,6,風花,174
04/21,15,四天王,7,志保,127
04/21,15,四天王,8,恵美,96
04/21,15,四天王,9,瑞希,81
04/21,15,四天王,10,のり子,76
04/21,16,四天王,1,奈緒,2252
04/21,16,四天王,2,亜利沙,2215
04/21,16,四天王,3,茜,921
04/21,16,四天王,4,莉緒,872
04/21,16,四天王,5,歩,519
04/21,16,四天王,6,風花,174
04/21,16,四天王,7,志保,128
04/21,16,四天王,8,恵美,96
04/21,16,四天王,9,瑞希,81
04/21,16,四天王,10,のり子,76
04/21,17,四天王,1,奈緒,2274
04/21,17,四天王,2,亜利沙,2230
04/21,17,四天王,3,茜,927
04/21,17,四天王,4,莉緒,876
04/21,17,四天王,5,歩,533
04/21,17,四天王,6,風花,174
04/21,17,四天王,7,志保,128
04/21,17,四天王,8,恵美,96
04/21,17,四天王,9,瑞希,81
04/21,17,四天王,10,のり子,76
04/21,18,四天王,1,奈緒,2286
04/21,18,四天王,2,亜利沙,2253
04/21,18,四天王,3,茜,933
04/21,18,四天王,4,莉緒,886
04/21,18,四天王,5,歩,535
04/21,18,四天王,6,風花,174
04/21,18,四天王,7,志保,129
04/21,18,四天王,8,恵美,96
04/21,18,四天王,9,瑞希,81
04/21,18,四天王,10,のり子,76
04/21,19,四天王,1,奈緒,2304
04/21,19,四天王,2,亜利沙,2265
04/21,19,四天王,3,茜,938
04/21,19,四天王,4,莉緒,895
04/21,19,四天王,5,歩,539
04/21,19,四天王,6,風花,176
04/21,19,四天王,7,志保,129
04/21,19,四天王,8,恵美,96
04/21,19,四天王,9,瑞希,81
04/21,19,四天王,10,のり子,76
04/21,20,四天王,1,奈緒,2322
04/21,20,四天王,2,亜利沙,2290
04/21,20,四天王,3,茜,943
04/21,20,四天王,4,莉緒,914
04/21,20,四天王,5,歩,539
04/21,20,四天王,6,風花,176
04/21,20,四天王,7,志保,131
04/21,20,四天王,8,恵美,105
04/21,20,四天王,9,瑞希,82
04/21,20,四天王,10,朋花,79
04/21,21,四天王,1,奈緒,2358
04/21,21,四天王,2,亜利沙,2309
04/21,21,四天王,3,茜,953
04/21,21,四天王,4,莉緒,928
04/21,21,四天王,5,歩,542
04/21,21,四天王,6,風花,176
04/21,21,四天王,7,志保,137
04/21,21,四天王,8,恵美,106
04/21,21,四天王,9,瑞希,82
04/21,21,四天王,10,朋花,79
04/21,22,四天王,1,奈緒,2390
04/21,22,四天王,2,亜利沙,2320
04/21,22,四天王,3,茜,956
04/21,22,四天王,4,莉緒,955
04/21,22,四天王,5,歩,554
04/21,22,四天王,6,風花,177
04/21,22,四天王,7,志保,140
04/21,22,四天王,8,恵美,106
04/21,22,四天王,9,瑞希,82
04/21,22,四天王,10,朋花,80
04/21,23,四天王,1,奈緒,2426
04/21,23,四天王,2,亜利沙,2337
04/21,23,四天王,3,茜,968
04/21,23,四天王,4,莉緒,957
04/21,23,四天王,5,歩,561
04/21,23,四天王,6,風花,184
04/21,23,四天王,7,志保,141
04/21,23,四天王,8,恵美,106
04/21,23,四天王,9,朋花,83
04/21,23,四天王,10,瑞希,82
04/22,0,四天王,1,奈緒,2466
04/22,0,四天王,2,亜利沙,2378
04/22,0,四天王,3,茜,977
04/22,0,四天王,4,莉緒,970
04/22,0,四天王,5,歩,570
04/22,0,四天王,6,風花,186
04/22,0,四天王,7,志保,142
04/22,0,四天王,8,恵美,108
04/22,0,四天王,9,朋花,85
04/22,0,四天王,10,瑞希,82
04/22,1,四天王,1,奈緒,2641
04/22,1,四天王,2,亜利沙,2532
04/22,1,四天王,3,莉緒,1060
04/22,1,四天王,4,茜,1022
04/22,1,四天王,5,歩,588
04/22,1,四天王,6,風花,191
04/22,1,四天王,7,志保,145
04/22,1,四天王,8,恵美,108
04/22,1,四天王,9,朋花,85
04/22,1,四天王,10,瑞希,84
04/22,2,四天王,1,奈緒,2685
04/22,2,四天王,2,亜利沙,2580
04/22,2,四天王,3,莉緒,1083
04/22,2,四天王,4,茜,1040
04/22,2,四天王,5,歩,615
04/22,2,四天王,6,風花,193
04/22,2,四天王,7,志保,145
04/22,2,四天王,8,恵美,108
04/22,2,四天王,9,のり子,91
04/22,2,四天王,10,朋花,85
04/22,3,四天王,1,奈緒,2716
04/22,3,四天王,2,亜利沙,2612
04/22,3,四天王,3,莉緒,1105
04/22,3,四天王,4,茜,1047
04/22,3,四天王,5,歩,617
04/22,3,四天王,6,風花,193
04/22,3,四天王,7,志保,145
04/22,3,四天王,8,恵美,108
04/22,3,四天王,9,のり子,91
04/22,3,四天王,10,朋花,86
04/22,4,四天王,1,奈緒,2729
04/22,4,四天王,2,亜利沙,2613
04/22,4,四天王,3,莉緒,1106
04/22,4,四天王,4,茜,1056
04/22,4,四天王,5,歩,617
04/22,4,四天王,6,風花,193
04/22,4,四天王,7,志保,145
04/22,4,四天王,8,恵美,108
04/22,4,四天王,9,のり子,91
04/22,4,四天王,10,朋花,86
04/22,5,四天王,1,奈緒,2731
04/22,5,四天王,2,亜利沙,2625
04/22,5,四天王,3,莉緒,1110
04/22,5,四天王,4,茜,1065
04/22,5,四天王,5,歩,622
04/22,5,四天王,6,風花,193
04/22,5,四天王,7,志保,145
04/22,5,四天王,8,恵美,108
04/22,5,四天王,9,のり子,92
04/22,5,四天王,10,朋花,87
04/22,6,四天王,1,奈緒,2737
04/22,6,四天王,2,亜利沙,2637
