日付,時間,役,順位,名前,得票数
04/21,5,勇者,1,杏奈,3313
04/21,5,勇者,2,百合子,3285
04/21,5,勇者,3,未来,524
04/21,5,勇者,4,海美,181
04/21,5,勇者,5,静香,180
04/21,5,勇者,6,翼,152
04/21,5,勇者,7,昴,136
04/21,5,勇者,8,琴葉,122
04/21,5,勇者,9,志保,104
04/21,5,勇者,10,紗代子,93
04/21,6,勇者,1,杏奈,3335
04/21,6,勇者,2,百合子,3312
04/21,6,勇者,3,未来,525
04/21,6,勇者,4,海美,182
04/21,6,勇者,5,静香,180
04/21,6,勇者,6,翼,153
04/21,6,勇者,7,昴,136
04/21,6,勇者,8,琴葉,122
04/21,6,勇者,9,志保,104
04/21,6,勇者,10,紗代子,93
04/21,7,勇者,1,杏奈,3410
04/21,7,勇者,2,百合子,3362
04/21,7,勇者,3,未来,534
04/21,7,勇者,4,海美,184
04/21,7,勇者,5,静香,181
04/21,7,勇者,6,翼,153
04/21,7,勇者,7,昴,142
04/21,7,勇者,8,琴葉,124
04/21,7,勇者,9,志保,105
04/21,7,勇者,10,紗代子,93
04/21,8,勇者,1,杏奈,3546
04/21,8,勇者,2,百合子,3429
04/21,8,勇者,3,未来,539
04/21,8,勇者,4,海美,184
04/21,8,勇者,5,静香,182
04/21,8,勇者,6,翼,155
04/21,8,勇者,7,昴,143
04/21,8,勇者,8,琴葉,126
04/21,8,勇者,9,志保,105
04/21,8,勇者,10,紗代子,93
04/21,9,勇者,1,杏奈,3626
04/21,9,勇者,2,百合子,3494
04/21,9,勇者,3,未来,547
04/21,9,勇者,4,静香,190
04/21,9,勇者,5,海美,188
04/21,9,勇者,6,翼,157
04/21,9,勇者,7,昴,143
04/21,9,勇者,8,琴葉,126
04/21,9,勇者,9,志保,105
04/21,9,勇者,10,紗代子,93
04/21,10,勇者,1,杏奈,3658
04/21,10,勇者,2,百合子,3545
04/21,10,勇者,3,未来,548
04/21,10,勇者,4,静香,190
04/21,10,勇者,5,海美,188
04/21,10,勇者,6,翼,161
04/21,10,勇者,7,昴,143
04/21,10,勇者,8,琴葉,126
04/21,10,勇者,9,志保,105
04/21,10,勇者,10,紗代子,94
04/21,11,勇者,1,杏奈,3700
04/21,11,勇者,2,百合子,3592
04/21,11,勇者,3,未来,554
04/21,11,勇者,4,静香,192
04/21,11,勇者,5,海美,188
04/21,11,勇者,6,翼,162
04/21,11,勇者,7,昴,144
04/21,11,勇者,8,琴葉,126
04/21,11,勇者,9,志保,106
04/21,11,勇者,10,紗代子,94
04/21,12,勇者,1,杏奈,3749
04/21,12,勇者,2,百合子,3634
04/21,12,勇者,3,未来,557
04/21,12,勇者,4,静香,195
04/21,12,勇者,5,海美,191
04/21,12,勇者,6,翼,162
