日付,時間,役,順位,名前,得票数
04/20,20,普通の子,5,紗代子,133
04/20,20,普通の子,6,ひなた,97
04/20,20,普通の子,7,百合子,74
04/20,20,普通の子,8,恵美,57
04/20,20,普通の子,9,杏奈,52
04/20,20,普通の子,10,星梨花,49
04/20,21,普通の子,1,琴葉,1467
04/20,21,普通の子,2,可奈,528
04/20,21,普通の子,3,未来,239
04/20,21,普通の子,4,美奈子,159
04/20,21,普通の子,5,紗代子,134
04/20,21,普通の子,6,ひなた,97
04/20,21,普通の子,7,百合子,74
04/20,21,普通の子,8,恵美,57
04/20,21,普通の子,9,杏奈,53
04/20,21,普通の子,10,星梨花,50
04/20,22,普通の子,1,琴葉,1492
04/20,22,普通の子,2,可奈,540
04/20,22,普通の子,3,未来,243
04/20,22,普通の子,4,美奈子,161
04/20,22,普通の子,5,紗代子,136
04/20,22,普通の子,6,ひなた,97
04/20,22,普通の子,7,百合子,75
04/20,22,普通の子,8,恵美,57
04/20,22,普通の子,9,杏奈,55
04/20,22,普通の子,10,星梨花,51
04/20,23,普通の子,1,琴葉,1500
04/20,23,普通の子,2,可奈,556
04/20,23,普通の子,3,未来,255
04/20,23,普通の子,4,美奈子,161
04/20,23,普通の子,5,紗代子,138
04/20,23,普通の子,6,ひなた,97
04/20,23,普通の子,7,百合子,76
04/20,23,普通の子,8,恵美,57
04/20,23,普通の子,9,杏奈,56
04/20,23,普通の子,10,星梨花,51
04/21,0,普通の子,1,琴葉,1521
04/21,0,普通の子,2,可奈,565
04/21,0,普通の子,3,未来,262
04/21,0,普通の子,4,美奈子,161
04/21,0,普通の子,5,紗代子,146
04/21,0,普通の子,6,ひなた,99
04/21,0,普通の子,7,百合子,76
04/21,0,普通の子,8,恵美,59
04/21,0,普通の子,9,杏奈,57
04/21,0,普通の子,10,星梨花,51
04/21,1,普通の子,1,琴葉,1615
04/21,1,普通の子,2,可奈,630
04/21,1,普通の子,3,未来,281
04/21,1,普通の子,4,美奈子,166
04/21,1,普通の子,5,紗代子,149
04/21,1,普通の子,6,ひなた,99
04/21,1,普通の子,7,百合子,80
04/21,1,普通の子,8,杏奈,61
04/21,1,普通の子,9,恵美,59
04/21,1,普通の子,10,星梨花,51
